City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date - Time Reported
Laurel,US,31.69,75.2,94,90,9.17,07/13/2019 - 09:31 AM
Port Alfred,ZA,-33.59,64.99,81,0,1.99,07/13/2019 - 09:26 AM
Grand Gaube,MU,-20.01,73.4,53,75,10.29,07/13/2019 - 09:26 AM
Ushuaia,AR,-54.81,41,86,75,3.36,07/13/2019 - 09:20 AM
Puerto Ayora,EC,-0.74,69.8,83,20,2.24,07/13/2019 - 09:25 AM
Bredasdorp,ZA,-34.53,68,60,4,8.05,07/13/2019 - 09:25 AM
Bethel,US,60.79,55.4,100,90,2.3,07/13/2019 - 09:25 AM
Busselton,AU,-33.64,46.99,58,1,18.25,07/13/2019 - 09:25 AM
Carauari,BR,-4.88,86.5,56,40,3.6,07/13/2019 - 09:31 AM
Vardo,NO,70.37,53.6,58,75,16.11,07/13/2019 - 09:26 AM
Saint-Joseph,RE,-21.37,73.4,49,90,8.05,07/13/2019 - 09:31 AM
Rikitea,PF,-23.12,74.03,85,1,14.38,07/13/2019 - 09:25 AM
Ulladulla,AU,-35.36,48.99,58,0,18.34,07/13/2019 - 09:31 AM
Paris,US,36.3,82,88,90,5.17,07/13/2019 - 09:31 AM
Tecoanapa,MX,16.99,78.8,78,90,3.36,07/13/2019 - 09:31 AM
San Patricio,MX,19.22,80.6,83,75,3.8,07/13/2019 - 09:27 AM
Khatanga,RU,71.98,56.03,58,100,5.79,07/13/2019 - 09:25 AM
Daru,PG,-9.07,72.82,90,100,8.08,07/13/2019 - 09:31 AM
Presidencia Roque Saenz Pena,AR,-26.79,62.69,94,100,7.05,07/13/2019 - 09:28 AM
Souillac,MU,-20.52,73.4,53,75,10.29,07/13/2019 - 09:25 AM
Manokwari,ID,-0.87,72.28,62,100,6.29,07/13/2019 - 09:31 AM
Punta Arenas,CL,-53.16,39.2,100,90,14.99,07/13/2019 - 09:25 AM
Atuona,PF,-9.8,79.07,81,61,13.96,07/13/2019 - 09:25 AM
Sayyan,YE,15.17,87.53,28,64,11.48,07/13/2019 - 09:28 AM
Cape Town,ZA,-33.93,66.99,52,0,3.36,07/13/2019 - 09:22 AM
Pevek,RU,69.7,39.11,99,91,3.38,07/13/2019 - 09:26 AM
Hermanus,ZA,-34.42,66.99,70,0,1.99,07/13/2019 - 09:25 AM
Kalmunai,LK,7.42,78.76,84,91,2.8,07/13/2019 - 09:31 AM
Dikson,RU,73.51,32.63,94,100,7.92,07/13/2019 - 09:26 AM
Cayenne,GF,4.94,84.2,74,15,3.36,07/13/2019 - 09:26 AM
Hami,CN,42.84,91.85,15,17,5.41,07/13/2019 - 09:26 AM
Jiangyou,CN,31.78,62.38,89,3,3.02,07/13/2019 - 09:31 AM
Port Elizabeth,ZA,-33.92,66.2,72,0,12.75,07/13/2019 - 09:26 AM
Albany,AU,-35.02,53.6,76,90,6.93,07/13/2019 - 09:25 AM
Nemuro,JP,43.32,54.82,96,100,15.59,07/13/2019 - 09:31 AM
Praia da Vitoria,PT,38.73,82.4,61,20,12.37,07/13/2019 - 09:27 AM
Avarua,CK,-21.21,69.8,83,99,2.24,07/13/2019 - 09:25 AM
East London,ZA,-33.02,64.4,72,0,9.17,07/13/2019 - 09:26 AM
Yellowknife,CA,62.45,50,76,20,4.12,07/13/2019 - 09:25 AM
Arraial do Cabo,BR,-22.97,73.4,73,0,5.82,07/13/2019 - 09:26 AM
Iqaluit,CA,63.75,50,81,40,3.36,07/13/2019 - 09:26 AM
Kahului,US,20.89,77,83,20,14.99,07/13/2019 - 09:27 AM
Grindavik,IS,63.84,55.4,82,75,11.41,07/13/2019 - 09:25 AM
Butaritari,KI,3.07,83.39,76,71,13.47,07/13/2019 - 09:25 AM
Anadyr,RU,64.73,57.2,76,0,4.47,07/13/2019 - 09:26 AM
Gushikawa,JP,26.35,84.2,88,1,14.99,07/13/2019 - 09:31 AM
Isfana,KG,39.84,105.8,11,20,11.18,07/13/2019 - 09:31 AM
Thompson,CA,55.74,62.6,72,75,6.93,07/13/2019 - 09:26 AM
Dhidhdhoo,MV,6.88,83.98,71,100,5.95,07/13/2019 - 09:31 AM
Hithadhoo,MV,-0.6,84.47,76,23,13.06,07/13/2019 - 09:22 AM
Fortuna,US,40.6,59,93,90,6.93,07/13/2019 - 09:25 AM
Upernavik,GL,72.79,44.87,85,84,8.59,07/13/2019 - 09:25 AM
Borogontsy,RU,62.67,68.68,65,0,1.88,07/13/2019 - 09:31 AM
Shelburne,CA,44.08,75.2,60,20,9.17,07/13/2019 - 09:28 AM
Victoria,SC,-4.62,80.6,83,75,11.41,07/13/2019 - 09:26 AM
Ketchikan,US,55.34,57.2,100,1,3.36,07/13/2019 - 09:31 AM
Kapaa,US,22.08,78.8,78,40,13.87,07/13/2019 - 09:25 AM
Hilo,US,19.71,69.8,68,40,5.82,07/13/2019 - 09:25 AM
New Norfolk,AU,-42.78,42.8,98,20,12.75,07/13/2019 - 09:25 AM
Barrow,US,39.51,75.99,73,1,4.18,07/13/2019 - 09:25 AM
Tuktoyaktuk,CA,69.44,40.19,81,33,5.03,07/13/2019 - 09:25 AM
Mapiripan,CO,2.89,76.24,87,93,3.67,07/13/2019 - 09:31 AM
Martaban,MM,16.53,79.48,85,100,8.93,07/13/2019 - 09:31 AM
Vaini,TO,-21.2,71.6,73,75,11.41,07/13/2019 - 09:25 AM
Tagab,AF,34.85,93.2,13,20,19.46,07/13/2019 - 09:31 AM
Jamestown,SH,-15.94,69.17,71,88,12.93,07/13/2019 - 09:25 AM
Te Anau,NZ,-45.41,45.95,98,100,5.59,07/13/2019 - 09:26 AM
Hobart,AU,-42.88,42.8,60,20,10.29,07/13/2019 - 09:25 AM
Portree,GB,57.41,61,81,24,4,07/13/2019 - 09:31 AM
Morondava,MG,-20.3,75.7,70,0,12.55,07/13/2019 - 09:31 AM
Abashiri,JP,44.01,56.98,98,46,5.77,07/13/2019 - 09:31 AM
Rawson,AR,-43.3,41.81,58,83,14.07,07/13/2019 - 09:26 AM
Ixtapa,MX,20.71,80.01,100,90,3.36,07/13/2019 - 09:28 AM
Gimli,CA,50.63,66,75,0,7.07,07/13/2019 - 09:31 AM
Faanui,PF,-16.48,77.63,73,0,6.02,07/13/2019 - 09:26 AM
Kannauj,IN,27.05,96.76,44,85,19.84,07/13/2019 - 09:31 AM
Binga,CD,0.52,72.82,93,99,0.25,07/13/2019 - 09:31 AM
Zanjan,IR,36.67,93.2,9,0,10.83,07/13/2019 - 09:31 AM
Alice Springs,AU,-23.7,50,61,0,11.41,07/13/2019 - 09:28 AM
Jinji,CN,22.16,79.3,95,100,2.59,07/13/2019 - 09:31 AM
Mochudi,BW,-24.38,77,11,0,6.93,07/13/2019 - 09:31 AM
Lebu,CL,-37.62,53.15,81,0,5.3,07/13/2019 - 09:25 AM
Adrar,DZ,27.87,116.6,3,0,14.99,07/13/2019 - 09:28 AM
Rondonopolis,BR,-16.46,90.28,27,0,5.39,07/13/2019 - 09:31 AM
Norman Wells,CA,65.28,46.4,81,40,5.82,07/13/2019 - 09:25 AM
Rupert,US,42.62,68,87,1,3.36,07/13/2019 - 09:31 AM
Bluff,NZ,-46.6,46,96,100,1.99,07/13/2019 - 09:25 AM
Bambous Virieux,MU,-20.34,73.4,53,75,10.29,07/13/2019 - 09:25 AM
Aklavik,CA,68.22,51.8,81,20,4.7,07/13/2019 - 09:26 AM
Tasiilaq,GL,65.61,41,86,40,10.29,07/13/2019 - 09:25 AM
Mahanoro,MG,-19.9,62.38,89,4,0.31,07/13/2019 - 09:31 AM
Narsaq,GL,60.91,57.2,58,20,6.93,07/13/2019 - 09:25 AM
Inirida,CO,3.87,86.5,61,25,3.29,07/13/2019 - 09:31 AM
Mount Gambier,AU,-37.83,46.4,75,75,12.75,07/13/2019 - 09:27 AM
Great Bend,US,38.36,72,88,1,4.7,07/13/2019 - 09:27 AM
Aguia Branca,BR,-18.98,68.09,74,0,2.26,07/13/2019 - 09:27 AM
Salalah,OM,17.01,80.6,94,90,9.17,07/13/2019 - 09:26 AM
Marienburg,SR,5.88,84.99,70,40,8.05,07/13/2019 - 09:31 AM
Georgetown,SH,-7.93,80.6,51,20,17.22,07/13/2019 - 09:25 AM
Dakar,SN,14.69,86,70,40,4.7,07/13/2019 - 09:29 AM
Kodiak,US,39.95,77,50,1,5.06,07/13/2019 - 09:25 AM
Mishan,CN,45.55,60.4,96,100,1.97,07/13/2019 - 09:31 AM
Carnarvon,AU,-24.87,62.6,59,0,10.29,07/13/2019 - 09:25 AM
Ponta do Sol,PT,32.67,73.4,73,40,10.29,07/13/2019 - 09:31 AM
Northam,AU,-31.65,55.4,66,0,6.93,07/13/2019 - 09:27 AM
San Luis,AR,-33.3,57.52,49,0,4.54,07/13/2019 - 09:30 AM
Kerman,IR,30.29,98.6,4,40,13.87,07/13/2019 - 09:27 AM
Cherskiy,RU,68.75,61.43,58,34,11.59,07/13/2019 - 09:25 AM
Diapaga,BF,12.07,91.18,43,36,4.34,07/13/2019 - 09:31 AM
Ola,RU,59.58,53.92,76,0,2.59,07/13/2019 - 09:31 AM
Saint-Francois,GP,16.25,84.2,79,69,6.93,07/13/2019 - 09:26 AM
Yumen,CN,40.29,79.43,29,35,13.38,07/13/2019 - 09:27 AM
Mahebourg,MU,-20.41,73.4,53,75,10.29,07/13/2019 - 09:25 AM
Vila Franca do Campo,PT,37.72,71.6,83,20,12.75,07/13/2019 - 09:28 AM
Linxia,CN,35.6,62.69,53,32,2.91,07/13/2019 - 09:25 AM
Ribeira Grande,PT,38.52,73.4,88,75,9.17,07/13/2019 - 09:26 AM
Cidreira,BR,-30.17,64.13,90,37,6.78,07/13/2019 - 09:27 AM
Dossor,KZ,47.52,89.2,31,33,11.05,07/13/2019 - 09:31 AM
Paragominas,BR,-3,81.82,79,56,7.27,07/13/2019 - 09:31 AM
Axim,GH,4.87,76.37,85,100,14.03,07/13/2019 - 09:28 AM
Necochea,AR,-38.55,48,90,64,3,07/13/2019 - 09:27 AM
Maniitsoq,GL,65.42,43.97,85,100,11.41,07/13/2019 - 09:28 AM
Alekseyevsk,RU,57.84,63.82,48,45,3.38,07/13/2019 - 09:31 AM
Ongandjera,NA,-17.88,81.46,11,0,6.02,07/13/2019 - 09:31 AM
Sobolivka,UA,50.89,70.48,53,100,2.91,07/13/2019 - 09:31 AM
Kavieng,PG,-2.57,81.95,83,97,15.88,07/13/2019 - 09:25 AM
Esperance,AU,-33.86,50,81,40,5.82,07/13/2019 - 09:25 AM
Bonthe,SL,7.53,77.09,88,100,12.68,07/13/2019 - 09:28 AM
Port Shepstone,ZA,-30.74,63.1,72,0,4.29,07/13/2019 - 09:31 AM
Pisco,PE,-13.71,71.6,30,90,4.7,07/13/2019 - 09:31 AM
Mercedes,AR,-29.18,59.45,89,100,11.16,07/13/2019 - 09:28 AM
Srednekolymsk,RU,67.46,69.76,58,92,8.25,07/13/2019 - 09:32 AM
Nantucket,US,41.28,75.99,78,1,16.11,07/13/2019 - 09:26 AM
Dawei,MM,14.07,82.72,79,100,12.21,07/13/2019 - 09:32 AM
Hobyo,SO,5.35,88.07,49,50,30.76,07/13/2019 - 09:28 AM
Husavik,IS,66.04,59,72,40,5.82,07/13/2019 - 09:27 AM
Santiago,PH,16.69,72.82,95,88,2.89,07/13/2019 - 09:31 AM
Port Augusta,AU,-32.49,39.99,93,0,3.36,07/13/2019 - 09:32 AM
Ancud,CL,-41.87,42.8,100,0,11.41,07/13/2019 - 09:25 AM
Richards Bay,ZA,-28.77,71.38,76,0,24.7,07/13/2019 - 09:32 AM
Ostrovnoy,RU,68.05,51.35,60,2,7.34,07/13/2019 - 09:28 AM
Sikonge,TZ,-5.63,84.2,35,20,11.41,07/13/2019 - 09:32 AM
Pacific Grove,US,36.62,59,87,90,3.36,07/13/2019 - 09:21 AM
Sibu,MY,2.29,78.8,88,75,3.36,07/13/2019 - 09:28 AM
Kaitangata,NZ,-46.28,52,63,98,1.99,07/13/2019 - 09:28 AM
Tondano,ID,1.3,77,73,40,4.7,07/13/2019 - 09:32 AM
Port Hawkesbury,CA,45.62,64,93,90,17.22,07/13/2019 - 09:32 AM
Bathsheba,BB,13.22,84.2,79,40,13.87,07/13/2019 - 09:26 AM
Innisfail,AU,-17.52,60.04,73,0,5.44,07/13/2019 - 09:32 AM
Alyangula,AU,-13.85,73.4,64,3,10.29,07/13/2019 - 09:32 AM
Nishihara,JP,35.74,78.01,100,1,5.82,07/13/2019 - 09:32 AM
Katsuura,JP,33.93,71.6,94,75,6.93,07/13/2019 - 09:26 AM
Kholm-Zhirkovskiy,RU,55.52,62.92,51,84,3.18,07/13/2019 - 09:32 AM
Xichang,CN,27.88,55,92,100,3.6,07/13/2019 - 09:32 AM
Kadoshkino,RU,54.03,67.24,82,79,5.59,07/13/2019 - 09:32 AM
Tiksi,RU,71.64,44.15,69,31,12.28,07/13/2019 - 09:25 AM
Oktyabrskiy,RU,55.61,66.2,48,0,6.71,07/13/2019 - 09:32 AM
Qaanaaq,GL,77.48,45.77,50,33,13.2,07/13/2019 - 09:25 AM
Mahibadhoo,MV,3.78,83.8,77,68,10.04,07/13/2019 - 09:32 AM
Cap Malheureux,MU,-19.98,73.4,53,75,10.29,07/13/2019 - 09:32 AM
Baghdad,IQ,33.3,104,16,0,10.29,07/13/2019 - 09:27 AM
Erenhot,CN,43.65,82.36,25,96,11.83,07/13/2019 - 09:32 AM
Puerto Madryn,AR,-42.77,53.02,47,100,19.44,07/13/2019 - 09:32 AM
Black River,JM,18.03,87.01,58,20,2.24,07/13/2019 - 09:32 AM
Lebyazhye,RU,59.96,62.6,51,40,6.71,07/13/2019 - 09:32 AM
Mitsamiouli,KM,-11.38,78.58,76,0,21.83,07/13/2019 - 09:32 AM
Sahuaripa,MX,29.05,81.1,58,0,0.98,07/13/2019 - 09:32 AM
Saskylakh,RU,71.97,57.83,59,100,8.19,07/13/2019 - 09:25 AM
Sao Joao da Barra,BR,-21.64,75.2,53,0,11.41,07/13/2019 - 09:25 AM
Peace River,CA,56.23,55.99,100,90,8.05,07/13/2019 - 09:32 AM
Santa Cruz,CR,10.26,77,88,0,4.7,07/13/2019 - 09:32 AM
Gazimurskiy Zavod,RU,51.55,61.3,78,100,1.1,07/13/2019 - 09:32 AM
West Bay,KY,19.37,86,79,20,11.41,07/13/2019 - 09:32 AM
Funadhoo,MV,6.15,84.16,71,97,3.91,07/13/2019 - 09:32 AM
Ponta Delgada,PT,37.73,71.6,83,20,12.75,07/13/2019 - 09:26 AM
Mar del Plata,AR,-46.43,41.99,74,100,9.17,07/13/2019 - 09:26 AM
Opuwo,NA,-18.06,85.42,9,0,5.95,07/13/2019 - 09:32 AM
Zhigansk,RU,66.77,55,67,83,10.56,07/13/2019 - 09:32 AM
Shenjiamen,CN,29.96,74.26,92,100,6.2,07/13/2019 - 09:32 AM
Huilong,CN,31.15,74.62,83,11,2.8,07/13/2019 - 09:32 AM
Isangel,VU,-19.55,73.4,83,20,13.87,07/13/2019 - 09:26 AM
Vila Velha,BR,-3.71,78.8,83,75,9.17,07/13/2019 - 09:26 AM
Cascais,PT,38.7,77,73,20,13.87,07/13/2019 - 09:32 AM
Talnakh,RU,69.49,51.8,87,75,6.71,07/13/2019 - 09:25 AM
Yulara,AU,-25.24,50,57,0,10.29,07/13/2019 - 09:25 AM
Doha,QA,25.29,109.4,53,0,17.22,07/13/2019 - 09:30 AM
Xining,CN,36.62,57.47,62,85,7.94,07/13/2019 - 09:28 AM
Lahuachaca,BO,-17.38,51.58,29,0,2.33,07/13/2019 - 09:32 AM
Yiyang,CN,28.59,68.68,96,46,1.57,07/13/2019 - 09:32 AM
Umm Lajj,SA,25.02,88.12,68,0,8.5,07/13/2019 - 09:32 AM
Morehead,PG,-8.71,69.22,93,68,2.82,07/13/2019 - 09:32 AM
Moose Factory,CA,51.26,51.8,100,90,4.7,07/13/2019 - 09:32 AM
Lompoc,US,34.64,55.99,93,90,5.66,07/13/2019 - 09:26 AM
Wuwei,CN,37.93,71.56,31,100,8.57,07/13/2019 - 09:32 AM
Khon Buri,TH,14.52,93,58,100,5.79,07/13/2019 - 09:32 AM
Bam,IR,29.11,82.72,12,64,9.6,07/13/2019 - 09:32 AM
Meulaboh,ID,4.14,84.65,74,100,8.16,07/13/2019 - 09:27 AM
Chicama,PE,-7.84,62.6,88,90,8.05,07/13/2019 - 09:32 AM
Mantua,CU,22.29,84.34,77,100,6.17,07/13/2019 - 09:32 AM
Changde,CN,29.04,70.12,93,48,3.44,07/13/2019 - 09:32 AM
Kudahuvadhoo,MV,2.67,83.98,77,43,10.33,07/13/2019 - 09:32 AM
Benicarlo,ES,40.42,88,50,35,5.99,07/13/2019 - 09:32 AM
Hohhot,CN,40.81,73.4,56,40,6.71,07/13/2019 - 09:32 AM
Ilo,PE,-17.65,60.8,87,90,4.7,07/13/2019 - 09:32 AM
Sola,VU,-13.88,81.1,78,76,22.39,07/13/2019 - 09:32 AM
Imbituba,BR,-28.24,64.4,88,0,6.93,07/13/2019 - 09:32 AM
Saint-Philippe,RE,-21.36,73.4,49,90,8.05,07/13/2019 - 09:25 AM
Chokurdakh,RU,70.62,52.79,58,3,5.28,07/13/2019 - 09:25 AM
Acapulco,MX,16.86,78.8,78,90,3.36,07/13/2019 - 09:26 AM
Kodinar,IN,20.79,83.08,75,100,16.55,07/13/2019 - 09:32 AM
Beloha,MG,-25.17,67.24,57,0,11.14,07/13/2019 - 09:32 AM
Saint George,BM,32.38,84,78,75,14.99,07/13/2019 - 09:23 AM
Alberton,CA,46.81,66.99,80,100,15.01,07/13/2019 - 09:32 AM
Nikolskoye,RU,59.7,62.6,51,40,6.71,07/13/2019 - 09:25 AM
Nalut,LY,31.86,98.51,12,0,8.88,07/13/2019 - 09:26 AM
Westport,IE,53.8,64,67,75,8.05,07/13/2019 - 09:32 AM
Clyde River,CA,70.47,51.8,71,1,2.24,07/13/2019 - 09:27 AM
Kaya,BF,13.09,94.6,37,78,8.9,07/13/2019 - 09:32 AM
Jidong,CN,45.25,59.86,98,100,2.3,07/13/2019 - 09:32 AM
Magistralnyy,RU,56.17,56.08,69,0,0.43,07/13/2019 - 09:32 AM
Severo-Kurilsk,RU,50.68,44.51,95,100,19.82,07/13/2019 - 09:27 AM
Vysokogornyy,RU,50.1,53.56,98,98,3.65,07/13/2019 - 09:32 AM
